index,sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text,Combinations
11.0,"“[Prior to AccountsIQ] bookkeeping was done in different ways, at different times and to varying degrees of complexity across the businesses. All of this was risky in terms of version control. The reporting was inevitably inaccurate and late. Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E1]Alastair Manson[/E1] of [E2]Tindle Newspaper Group[/E2].","“[Prior to AccountsIQ] bookkeeping was done in different ways, at different times and to varying degrees of complexity across the businesses. All of this was risky in terms of version control. The reporting was inevitably inaccurate and late. Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [PERSON]Alastair Manson[/PERSON] of [ORG]Tindle Newspaper Group[/ORG].",Alastair Manson,Tindle Newspaper Group,employedBy,"['PERSON', 'ORG']",article_219_payback_from_cloud_based.txt,2.0,"Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E1]Alastair Manson[/E1] of [E2]Tindle Newspaper Group[/E2].","PwC recently hosted a webcast, in cooperation with the [E2]US[/E2] located [E1]National Association of Manufacturers[/E1] and Microsoft to discuss this.What are the current trends in AI and Big Data in manufacturing?."
12.0,"“AccountsIQ solves so many problems for businesses like ours; it can be configured to tackle quite complex accounting issues but without the overheads and ongoing costs associated with some of the vendors at the higher end of the market,” says [E1]Emma Whelan[/E1], financial controller at [E2]Asavie[/E2].","“AccountsIQ solves so many problems for businesses like ours; it can be configured to tackle quite complex accounting issues but without the overheads and ongoing costs associated with some of the vendors at the higher end of the market,” says [PERSON]Emma Whelan[/PERSON], financial controller at [ORG]Asavie[/ORG].",Emma Whelan,Asavie,employedBy,"['PERSON', 'ORG']",article_219_payback_from_cloud_based.txt,2.0,"“AccountsIQ solves so many problems for businesses like ours; it can be configured to tackle quite complex accounting issues but without the overheads and ongoing costs associated with some of the vendors at the higher end of the market,” says [E1]Emma Whelan[/E1], financial controller at [E2]Asavie[/E2].","[E1]John Sumser,[/E1] founder and principal analyst of [E2]HRExaminer com[/E2], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs."
13.0,"“Partnering with Century Business Solutions has enabled us to confidently provide our clients with a high-value credit card processing solution coupled with top-level service that's in line with what we offer at Klear Systems,” said [E1]Kayla Harter[/E1], Business Development Manager at [E2]Klear Systems.[/E2]","“Partnering with Century Business Solutions has enabled us to confidently provide our clients with a high-value credit card processing solution coupled with top-level service that's in line with what we offer at Klear Systems,” said [PERSON]Kayla Harter[/PERSON], Business Development Manager at [ORG]Klear Systems.[/ORG]",Kayla Harter,Klear Systems.,managerOf,"['PERSON', 'ORG']",article_126_century_business.txt,0.0,"“Partnering with Century Business Solutions has enabled us to confidently provide our clients with a high-value credit card processing solution coupled with top-level service that's in line with what we offer at Klear Systems,” said [E1]Kayla Harter[/E1], Business Development Manager at [E2]Klear Systems [/E2].","[E2]HRExaminer com[/E2] manager [E1]John Sumser,[/E1], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs."
14.0,"[E2]Fitfield[/E2] managing director [E1]John Maxwell[/E1] said the switch to being an EOT would preserve the independence of Fitfield, and provide a structure for the long-term for all employees.","[ORG]Fitfield[/ORG] managing directo[PERSON]r John Maxwe[/PERSON]ll said the switch to being an EOT would preserve the independence of Fitfield, and provide a structure for the long-term for all employees.",John Maxwell,Fitfield,managerOf,"['PERSON', 'ORG']",article_186_shareholders.txt,0.0,"[E2]Fitfield[/E2] managing director [E1]John Maxwell[/E1] said the switch to being an EOT would preserve the independence of Fitfield, and provide a structure for the long-term for all employees.","managerOf [E2]HRExaminer com[/E2][E1]John Sumser,[/E1], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs."
15.0,"Rizing believes true business transformation comes from within and that understanding and responding to employee experiences within your business is a pivotal step,"" says [E1]Luc Hédou, [/E1]CEO of [E2]Rizing's Human Capital Management line[/E2] of business. ""With Rizing Employee Experience Insights, we are committed to empowering organizations to use experience and operational data to spark productive change.""","Rizing believes true business transformation comes from within and that understanding and responding to employee experiences within your business is a pivotal step,"" says [PERSON]Luc Hédou, [/PERSON]CEO of [ORG]Rizing's Human Capital Management line[/ORG] of business. ""With Rizing Employee Experience Insights, we are committed to empowering organizations to use experience and operational data to spark productive change.""","Luc Hédou, ",Rizing's Human Capital Management line,managerOf,"['PERSON', 'ORG']",article_136_qualtics.txt,0.0,"Rizing believes true business transformation comes from within and that understanding and responding to employee experiences within your business is a pivotal step,"" says [E1]Luc Hédou, [/E1]CEO of [E2]Rizing's Human Capital Management line[/E2] of business.","The event, which is free to attend, will also include sessions from HR thought leaders Josh Bersin and Jason Averbook; [E1]Mimi Brooks[/E1], CEO of consulting firm [E2]Logical Design Solutions;[/E2] talent acquisition expert Jackye Clayton; and a closing keynote on diversity and inclusion from author and practitioner Torin Ellis."
16.0,"We are excited to welcome Rizing to the Qualtrics Partner Network,"" said R.J. [E1]Filipski,[/E1] Global Director of Business Development, [E2]Qualtrics[/E2]. ""With Rizing's expertise in HR and Qualtrics' leading experience management platform, we will help organizations around the world realize the positive people and business outcomes that the right technology and expertise can drive.""","We are excited to welcome Rizing to the Qualtrics Partner Network,"" said R.J. [PERSON]Filipski,[/PERSON] Global Director of Business Development, [ORG]Qualtrics[/ORG]. ""With Rizing's expertise in HR and Qualtrics' leading experience management platform, we will help organizations around the world realize the positive people and business outcomes that the right technology and expertise can drive.""","Filipski,",Qualtrics,managerOf,"['PERSON', 'ORG']",article_136_qualtics.txt,0.0,"We are excited to welcome Rizing to the Qualtrics Partner Network,"" said R J  [E1]Filipski,[/E1] Global Director of Business Development, [E2]Qualtrics[/E2].","The event, which is free to attend, will also include sessions from HR thought leaders Josh Bersin and Jason Averbook; [E2]Logical Design Solutions;[/E2] manager [E1]Mimi Brooks[/E1] talent acquisition expert Jackye Clayton; and a closing keynote on diversity and inclusion from author and practitioner Torin Ellis."
17.0,"Experience management is absolutely essential across the industries we serve,"" said [E1]Mike Maiolo[/E1], CEO of [E2]Rizing[/E2]. ""The ability to measure and improve experiences for customers and, in fact, all stakeholders is what differentiates one company from another. With the launch of EXI, we're able to do that for Rizing customers with personalized services and real-time data from Qualtrics.","Experience management is absolutely essential across the industries we serve,"" said [PERSON]Mike Maiolo[/PERSON], CEO of [ORG]Rizing[/ORG]. ""The ability to measure and improve experiences for customers and, in fact, all stakeholders is what differentiates one company from another. With the launch of EXI, we're able to do that for Rizing customers with personalized services and real-time data from Qualtrics.",Mike Maiolo,Rizing,managerOf,"['PERSON', 'ORG']",article_136_qualtics.txt,0.0,"Experience management is absolutely essential across the industries we serve,"" said [E1]Mike Maiolo[/E1], CEO of [E2]Rizing[/E2].","The event, which is free to attend, will also include sessions from HR thought leaders Josh Bersin and Jason Averbook; managerOf [E2]Logical Design Solutions;[/E2][E1]Mimi Brooks[/E1] talent acquisition expert Jackye Clayton; and a closing keynote on diversity and inclusion from author and practitioner Torin Ellis."
18.0,"Contact [E1]Sherryanne Meyer,[/E1] [E2]Rizing Corporate Communications[/E2] Director, Sherry.meyer@rizing.com","Contact [PERSON]Sherryanne Meyer,[/PERSON] [ORG]Rizing Corporate Communications[/ORG] Director, Sherry.meyer@rizing.com","Sherryanne Meyer,",Rizing Corporate Communications,managerOf,"['PERSON', 'ORG']",article_136_qualtics.txt,0.0,"Contact [E1]Sherryanne Meyer,[/E1] [E2]Rizing Corporate Communications[/E2] Director, Sherry meyer@rizing com.","[E1]Cboe Global Markets[/E1] a [E2]US[/E2]-based exchange operator has announced plans to introduce a new range of market maker incentives for traders in ETPs, listed on its exchanges."
19.0,"The growth of SAP SuccessFactors Employee Central demonstrates how important it is for organizations to have a truly global and scalable core HR solution,"" said [E1]Jill Popelka[/E1], president,[E2] SAP SuccessFactors[/E2]. ""Business conditions, local regulations and the skills needed to succeed continue to change rapidly. Customers are choosing SAP SuccessFactors Employee Central to ensure they can deliver exceptional employee experiences while maintaining the flexibility and insights to adapt in times of disruption.""","The growth of SAP SuccessFactors Employee Central demonstrates how important it is for organizations to have a truly global and scalable core HR solution,"" said [PERSON]Jill Popelka[/PERSON], president,[ORG] SAP SuccessFactors[/ORG]. ""Business conditions, local regulations and the skills needed to succeed continue to change rapidly. Customers are choosing SAP SuccessFactors Employee Central to ensure they can deliver exceptional employee experiences while maintaining the flexibility and insights to adapt in times of disruption.""",Jill Popelka, SAP SuccessFactors,employedBy,"['PERSON', 'ORG']",article_137_timken.txt,2.0,"The growth of SAP SuccessFactors Employee Central demonstrates how important it is for organizations to have a truly global and scalable core HR solution,"" said [E1]Jill Popelka[/E1], president,[E2] SAP SuccessFactors[/E2].","[E2]US[/E2] located [E1]Cboe Global Markets[/E1]-based exchange operator has announced plans to introduce a new range of market maker incentives for traders in ETPs, listed on its exchanges."
20.0,"[E1]Arun Serikar[/E1], director, global HR technology, [E2]Whirlpool Corporation[/E2]: ""Reimagining HR has been an essential part of the digital transformation journey at Whirlpool Corporation. In order to build a highly engaged, high performing global workforce, we need to provide HR employees with tools that enable them to be agile, data-driven, and strategic. The SAP SuccessFactors Employee Central solution provides a truly integrated and complete vision of our workforce so we can continue to deliver on our promise of 'people excellence.'""","[PERSON]Arun Serikar[/PERSON], director, global HR technology, [ORG]Whirlpool Corporation[/ORG]: ""Reimagining HR has been an essential part of the digital transformation journey at Whirlpool Corporation. In order to build a highly engaged, high performing global workforce, we need to provide HR employees with tools that enable them to be agile, data-driven, and strategic. The SAP SuccessFactors Employee Central solution provides a truly integrated and complete vision of our workforce so we can continue to deliver on our promise of 'people excellence.'""",Arun Serikar,Whirlpool Corporation,employedBy,"['PERSON', 'ORG']",article_137_timken.txt,2.0,"[E1]Arun Serikar[/E1], director, global HR technology, [E2]Whirlpool Corporation[/E2]: ""Reimagining HR has been an essential part of the digital transformation journey at Whirlpool Corporation.","Senior Vice President and Global Head of Listings at [E2]Cboe[/E2] [E1]Laura Morrison[/E1] was quoted as saying that: “We have received extremely positive industry feedback on our LMM ( led market maker) incentive offerings, and based on further dialogue with our family of issuers and market makers, we are pleased to enhance our incentive program in an effort to help provide deeper liquidity for listed ETPs”."
21.0,"The [E1]ETP[/E1] is expected to be made official during the [E2]UK[/E2] Prime Minister Boris Johnson’s visit to India, currently scheduled for the end of April this year.","The [ORG]ETP[/ORG] is expected to be made official during the [GPE]UK[/GPE] Prime Minister Boris Johnson’s visit to India, currently scheduled for the end of April this year.",ETP,UK,noRelation,"['ORG', 'GPE']",article_67_key_areas.txt,3.0,"The [E1]ETP[/E1] is expected to be made official during the [E2]UK[/E2] Prime Minister Boris Johnson’s visit to India, currently scheduled for the end of April this year.","Senior Vice President and Global Head of Listings at [E1]Laura Morrison[/E1]manager[E2]Cboe[/E2] was quoted as saying that: “We have received extremely positive industry feedback on our LMM ( led market maker) incentive offerings, and based on further dialogue with our family of issuers and market makers, we are pleased to enhance our incentive program in an effort to help provide deeper liquidity for listed ETPs”."
22.0,"The [E2]ETP[/E2] is expected to be made official during the UK Prime Minister [E1]Boris Johnson’s[/E1] visit to India, currently scheduled for the end of April this year.","The [ORG]ETP[/ORG] is expected to be made official during the UK Prime Ministe[PERSON]r Boris Johnson[/PERSON]’s visit to India, currently scheduled for the end of April this year.",Boris Johnson’s,ETP,noRelation,"['PERSON', 'ORG']",article_67_key_areas.txt,3.0,"The [E2]ETP[/E2] is expected to be made official during the UK Prime Minister [E1]Boris Johnson’s[/E1] visit to India, currently scheduled for the end of April this year.","Senior Vice President and Global Head of Listings at managerOf[E1]Laura Morrison[/E1][E2]Cboe[/E2] was quoted as saying that: “We have received extremely positive industry feedback on our LMM ( led market maker) incentive offerings, and based on further dialogue with our family of issuers and market makers, we are pleased to enhance our incentive program in an effort to help provide deeper liquidity for listed ETPs”."
23.0,"The [E1]ETP[/E1] is expected to be made official during the UK Prime Minister Boris Johnson’s visit to [E2]India[/E2], currently scheduled for the end of April this year.","The [ORG]ETP[/ORG] is expected to be made official during the UK Prime Minister Boris Johnson’s visit to [GPE]India[/GPE], currently scheduled for the end of April this year.",ETP,India,noRelation,"['ORG', 'GPE']",article_67_key_areas.txt,3.0,"The [E1]ETP[/E1] is expected to be made official during the UK Prime Minister Boris Johnson’s visit to [E2]India[/E2], currently scheduled for the end of April this year.",The [E1]Cboe BZX[/E1] exchange is the second-largest ETP exchange in the [E2]USA[/E2] when ranked by the number of primary listings and is home to 445 ETPs with a combined value of some $440 billion.
24.0,"In its ‘Britain Meets India’ Report, consultancy [E1]Grant Thornton Bharat[/E1], in collaboration with the DIT and the Confederation of Indian Industry (CII), stated that the [E2]UK[/E2] was India’s sixth largest investor, having invested a total of US$29.56 billion during April 2000 to September 2020.","In its ‘Britain Meets India’ Report, consultancy [ORG]Grant Thornton Bharat[/ORG], in collaboration with the DIT and the Confederation of Indian Industry (CII), stated that the [GPE]UK[/GPE] was India’s sixth largest investor, having invested a total of US$29.56 billion during April 2000 to September 2020.",Grant Thornton Bharat,UK,noRelation,"['ORG', 'GPE']",article_67_key_areas.txt,3.0,"In its ‘Britain Meets India’ Report, consultancy [E1]Grant Thornton Bharat[/E1], in collaboration with the DIT and the Confederation of Indian Industry (CII), stated that the [E2]UK[/E2] was India’s sixth largest investor, having invested a total of US$29.56 billion during April 2000 to September 2020.",The [E2]USA[/E2] located [E1]Cboe BZX[/E1] when ranked by the number of primary listings and is home to 445 ETPs with a combined value of some $440 billion.
25.0,"In its ‘Britain Meets India’ Report, consultancy Grant Thornton Bharat, in collaboration with the DIT and [E1]the Confederation of Indian Industry (CII)[/E1], stated that the [E2]UK[/E2] was India’s sixth largest investor, having invested a total of US$29.56 billion during April 2000 to September 2020.","In its ‘Britain Meets India’ Report, consultancy Grant Thornton Bharat, in collaboration with the DIT and [ORG]the Confederation of Indian Industry (CII)[/ORG], stated that the [GPE]UK[/GPE] was India’s sixth largest investor, having invested a total of US$29.56 billion during April 2000 to September 2020.",the Confederation of Indian Industry (CII),UK,noRelation,"['ORG', 'GPE']",article_67_key_areas.txt,3.0,"In its ‘Britain Meets India’ Report, consultancy Grant Thornton Bharat, in collaboration with the DIT and [E1]the Confederation of Indian Industry (CII)[/E1], stated that the [E2]UK[/E2] was India’s sixth largest investor, having invested a total of US$29.56 billion during April 2000 to September 2020.","The time you can give back to your organisation by adopting more productive, automated tools and the work-life balance staff get from being able to work from home and use much more enjoyable tools can’t be understated, “explains [E1]Darren Cran[/E1], chief operating officer at Dublin-based accounting software provider [E2]AccountsIQ[/E2]."
26.0,"In fact, according to [E1]Grant Thornton Bharat[/E1]: 572 UK companies in [E2]India[/E2], with a combined turnover of INR 3.39 trillion (US$46.73 billion), employed 416,121 people directly.","In fact, according to [ORG]Grant Thornton Bharat[/ORG]: 572 UK companies in [GPE]India[/GPE], with a combined turnover of INR 3.39 trillion (US$46.73 billion), employed 416,121 people directly.",Grant Thornton Bharat,India,noRelation,"['ORG', 'GPE']",article_67_key_areas.txt,3.0,"In fact, according to [E1]Grant Thornton Bharat[/E1]: 572 UK companies in [E2]India[/E2], with a combined turnover of INR 3 39 trillion (US$46 73 billion), employed 416,121 people directly.","The time you can give back to your organisation by adopting more productive, automated tools and the work-life balance staff get from being able to work from home and use much more enjoyable tools can’t be understated, “explains [E2]AccountsIQ[/E2] manager [E1]Darren Cran[/E1]."
27.0,"Many UK companies have set up in [E2]Maharashtra[/E2] due to the Memorandum of Understanding (MoU) signed between the UK India Business Council and the [E1]Maharashtra Industrial Development Corporation (MIDC)[/E1] on July 3, 2020.","Many UK companies have set up in [GPE]Maharashtra[/GPE] due to the Memorandum of Understanding (MoU) signed between the UK India Business Council and th[ORG]e Maharashtra Industrial Development Corporation (MID[/ORG]C) on July 3, 2020.",Maharashtra Industrial Development Corporation (MIDC),Maharashtra,locatedAt,"['ORG', 'GPE']",article_67_key_areas.txt,1.0,"Many UK companies have set up in [E2]Maharashtra[/E2] due to the Memorandum of Understanding (MoU) signed between the UK India Business Council and the [E1]Maharashtra Industrial Development Corporation (MIDC)[/E1] on July 3, 2020.","The time you can give back to your organisation by adopting more productive, automated tools and the work-life balance staff get from being able to work from home and use much more enjoyable tools can’t be understated, “explains managerOf [E2]AccountsIQ[/E2][E1]Darren Cran[/E1]."
28.0,[E1]ERS [/E1]of [E2]Texas [/E2]said it intends to diversify and increase its international exposure which accounts for 23% of its total real estate portfolio.,[ORG]ERS [/ORG]of [GPE]Texas [/GPE]said it intends to diversify and increase its international exposure which accounts for 23% of its total real estate portfolio.,ERS ,Texas ,locatedAt,"['ORG', 'GPE']",article_27_ERS_of_Texas.txt,1.0,[E1]ERS [/E1]of [E2]Texas [/E2]said it intends to diversify and increase its international exposure which accounts for 23% of its total real estate portfolio.,"Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E1]Alastair Manson[/E1] of [E2]Tindle Newspaper Group[/E2]."
29.0,"So far, [E1]ERS [/E1]of [E2]Texas [/E2]has approved a $75m commitment to the DivcoWest Fund VI fund and $50m each into Marcus Capital Partners Fund III and Principal Digital Real Estate funds.","So far, [ORG]ERS [/ORG]of [GPE]Texas [/GPE]has approved a $75m commitment to the DivcoWest Fund VI fund and $50m each into Marcus Capital Partners Fund III and Principal Digital Real Estate funds.",ERS ,Texas ,locatedAt,"['ORG', 'GPE']",article_27_ERS_of_Texas.txt,1.0,"So far, [E1]ERS [/E1]of [E2]Texas [/E2]has approved a $75m commitment to the DivcoWest Fund VI fund and $50m each into Marcus Capital Partners Fund III and Principal Digital Real Estate funds.","Now, AccountsIQ allows us to report monthly management accounts within two weeks”, says [E2]Tindle Newspaper Group[/E2] employed [E1]Alastair Manson[/E1]."
